Line#;Date;;Rain (S-RGF 21246400:21256003-1), mm, PATFA1 (INIAP);Temperature (S-THC 21246400:21262596-1), *C, PATFA1 (INIAP);RH (S-THC 21246400:21262596-2), %, PATFA1 (INIAP);Dew Point (S-THC 21246400:21262596-3), *C.1, PATFA1 (INIAP);Wind Speed (S-WSB 21246400:21262656-1), m/s, PATFA1 (INIAP);Gust Speed (S-WSB 21246400:21262656-2), m/s.1, PATFA1 (INIAP);Wind Direction (S-WDA 21246400:21268488-1), *, PATFA1 (INIAP);#;PLANTA;FRUTO;INCIDENCIA;SEVERIDAD (%),Line#;Date;Rain (S-RGF 21246400:21256003-1)
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;15;PL002;5;0;0,,,,,,,,,2950;08/23/22 01:10:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;16;PL002;6;1;80,,,,,,,,,2951;08/23/22 01:15:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;17;PL002;7;1;100,,,,,,,,,2952;08/23/22 01:20:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;18;PL002;8;0;0,,,,,,,,,2953;08/23/22 01:25:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;19;PL002;9;0;0,,,,,,,,,2954;08/23/22 01:30:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;20;PL002;10;0;0,,,,,,,,,2955;08/23/22 01:35:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;21;PL003;1;0;0,,,,,,,,,2956;08/23/22 01:40:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;22;PL003;2;0;0,,,,,,,,,2957;08/23/22 01:45:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;23;PL003;3;0;0,,,,,,,,,2958;08/23/22 01:50:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;24;PL003;4;0;0,,,,,,,,,2959;08/23/22 01:55:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;25;PL003;5;0;0,,,,,,,,,2960;08/23/22 02:00:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;26;PL003;6;0;0,,,,,,,,,2961;08/23/22 02:05:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;27;PL003;7;1;50,,,,,,,,,2962;08/23/22 02:10:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;28;PL003;8;0;0,,,,,,,,,2963;08/23/22 02:15:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;29;PL003;9;0;0,,,,,,,,,2964;08/23/22 02:20:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;30;PL003;10;1;100,,,,,,,,,2965;08/23/22 02:25:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;31;PL004;1;0;0,,,,,,,,,2966;08/23/22 02:30:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;32;PL004;2;0;0,,,,,,,,,2967;08/23/22 02:35:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;33;PL004;3;0;0,,,,,,,,,2968;08/23/22 02:40:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;34;PL004;4;0;0,,,,,,,,,2969;08/23/22 02:45:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;35;PL004;5;1;80,,,,,,,,,2970;08/23/22 02:50:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;36;PL004;6;0;0,,,,,,,,,2971;08/23/22 02:55:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;37;PL004;7;0;0,,,,,,,,,2972;08/23/22 03:00:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;38;PL004;8;0;0,,,,,,,,,2973;08/23/22 03:05:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;39;PL004;9;0;0,,,,,,,,,2974;08/23/22 03:10:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;40;PL004;10;1;100,,,,,,,,,2975;08/23/22 03:15:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;41;PL005;1;0;0,,,,,,,,,2976;08/23/22 03:20:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;42;PL005;2;0;0,,,,,,,,,2977;08/23/22 03:25:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;43;PL005;3;0;0,,,,,,,,,2978;08/23/22 03:30:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;44;PL005;4;0;0,,,,,,,,,2979;08/23/22 03:35:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;45;PL005;5;1;80,,,,,,,,,2980;08/23/22 03:40:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;46;PL005;6;0;0,,,,,,,,,2981;08/23/22 03:45:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;47;PL005;7;0;0,,,,,,,,,2982;08/23/22 03:50:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;48;PL005;8;0;0,,,,,,,,,2983;08/23/22 03:55:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;49;PL005;9;0;0,,,,,,,,,2984;08/23/22 04:00:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;50;PL005;10;0;0,,,,,,,,,2985;08/23/22 04:05:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;51;PL006;1;0;0,,,,,,,,,2986;08/23/22 04:10:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;52;PL006;2;0;0,,,,,,,,,2987;08/23/22 04:15:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;53;PL006;3;0;0,,,,,,,,,2988;08/23/22 04:20:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;54;PL006;4;0;0,,,,,,,,,2989;08/23/22 04:25:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;55;PL006;5;0;0,,,,,,,,,2990;08/23/22 04:30:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;56;PL006;6;0;0,,,,,,,,,2991;08/23/22 04:35:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;57;PL006;7;0;0,,,,,,,,,2992;08/23/22 04:40:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;58;PL006;8;0;0,,,,,,,,,2993;08/23/22 04:45:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;59;PL006;9;0;0,,,,,,,,,2994;08/23/22 04:50:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;60;PL006;10;0;0,,,,,,,,,2995;08/23/22 04:55:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;61;PL007;1;0;0,,,,,,,,,2996;08/23/22 05:00:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;62;PL007;2;0;0,,,,,,,,,2997;08/23/22 05:05:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;63;PL007;3;0;0,,,,,,,,,2998;08/23/22 05:10:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;64;PL007;4;0;0,,,,,,,,,2999;08/23/22 05:15:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;65;PL007;5;0;0,,,,,,,,,3000;08/23/22 05:20:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;66;PL007;6;0;0,,,,,,,,,3001;08/23/22 05:25:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;67;PL007;7;0;0,,,,,,,,,3002;08/23/22 05:30:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;68;PL007;8;0;0,,,,,,,,,3003;08/23/22 05:35:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;69;PL007;9;0;0,,,,,,,,,3004;08/23/22 05:40:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;70;PL007;10;0;0,,,,,,,,,3005;08/23/22 05:45:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;71;PL008;1;0;0,,,,,,,,,3006;08/23/22 05:50:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;72;PL008;2;0;0,,,,,,,,,3007;08/23/22 05:55:00;0;23
